(12, 10)
(12, 11)
(12, 12)
(11, 12)
(10, 12)
(10, 13)
(10, 14)
(9, 14)
(8, 14)
(8, 15)
(8, 16)
(8, 17)
(8, 18)
(9, 18)
(10, 18)
(11, 18)
(12, 18)
(12, 19)
(12, 20)
(12, 21)
(12, 22)
(13, 22)
(14, 22)
(15, 22)
(16, 22)
(16, 21)
(16, 20)
(17, 20)
(18, 20)
(19, 20)
(20, 20)
(20, 21)
(20, 22)
(20, 23)
(20, 24)
(21, 24)
(22, 24)
(23, 24)
(24, 24)
(24, 23)
(24, 22)
(24, 21)
(24, 20)
(24, 19)
(24, 18)
(24, 17)
(24, 16)
(23, 16)
(22, 16)
(21, 16)
(20, 16)
(20, 15)
(20, 14)
(19, 14)
(18, 14)
(17, 14)
(16, 14)
(16, 13)
(16, 12)
(16, 11)
(16, 10)
(16, 9)
(16, 8)
(15, 8)
(14, 8)
(14, 7)
(14, 6)
(14, 5)
(14, 4)
(13, 4)
(12, 4)
(11, 4)
(10, 4)
(10, 3)
(10, 2)
(10, 1)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(16, 1)
(16, 2)
(17, 2)
(18, 2)
(18, 3)
(18, 4)
(18, 5)
(18, 6)
(19, 6)
(20, 6)
(21, 6)
(22, 6)
(22, 5)
(22, 4)
