(8, 24)
(8, 25)
(8, 26)
(7, 26)
(6, 26)
(6, 27)
(6, 28)
(5, 28)
(4, 28)
(4, 29)
(4, 30)
(3, 30)
(2, 30)
(2, 31)
(2, 32)
(1, 32)
(0, 32)
(0, 33)
(0, 34)
(0, 35)
(0, 36)
(0, 37)
(0, 38)
(1, 38)
(2, 38)
(3, 38)
(4, 38)
(4, 37)
(4, 36)
(4, 35)
(4, 34)
(5, 34)
(6, 34)
(7, 34)
(8, 34)
(8, 33)
(8, 32)
(8, 31)
(8, 30)
(9, 30)
(10, 30)
(11, 30)
(12, 30)
(12, 29)
(12, 28)
(12, 27)
(12, 26)
(13, 26)
(14, 26)
(14, 25)
(14, 24)
(15, 24)
(16, 24)
(16, 23)
(16, 22)
(17, 22)
(18, 22)
(18, 21)
(18, 20)
(18, 19)
(18, 18)
(19, 18)
(20, 18)
(20, 17)
(20, 16)
(21, 16)
(22, 16)
(22, 15)
(22, 14)
